name,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,class
NLX-1530536073914705345-1530536092326.wav,3.162354e+001,2.132604e-001,2.808130e+001,2.810224e+001,3.256030e+001,4.478994e+000,1.910179e+002,2.001436e+002,1.661189e+002,1.873569e+002,5.460574e-001,8.713731e-001,2.629220e-001,2.777310e-001,7.831349e-001,5.202129e-001,1.151449e+001,6.196899e+000,7.413016e+000,5.750106e+000,2.659959e-001,1.589653e+000,1.273445e+001,8.812774e-001,-1.962696e+001,-5.221335e-001,-2.131087e+001,-5.037253e-001,-2.824800e+001,-3.387730e-001,4.361362e-002,1.957607e+000,1.447638e+000,5.827245e-001,1.608805e+000,2.410739e+000,-9.215108e+000,-1.002560e+000,8.621287e+000,1.065447e+000,8.998318e+002,2.287526e-001,1.071651e+003,2.468487e-001,3.229200e+001,9.372129e-001,1.990059e+003,1.404278e-001,8.005382e+002,4.108957e-001,1.927553e+001,1.295878e+000,3.016252e+003,1.127934e-001,8.303102e+002,3.386900e-001,1.541809e+001,1.654272e+000,-4.752311e+000,-1.376849e+000,1.683376e+001,4.273394e-001,2.042447e-001,9.141985e-002,-1.228446e-002,-6.841193e-001,2.671939e-001,1.595333e+000,1.271913e+001,8.891262e-001,-1.963797e+001,-5.223071e-001,-2.138053e+001,-5.038891e-001,-2.826660e+001,-3.388421e-001,-2.221708e+000,1.258745e+001,1.895591e-001,-1.866264e-003,2.998658e-001,1.705115e+000,5.045409e-001,1.948000e+000,2.005846e+000,5.000000e-002,0.000000e+000,-3.147704e+001,"?
"
NLX-1530536098561956015-1530536153063.wav,3.062632e+001,2.230571e-001,2.805974e+001,2.812576e+001,3.070027e+001,2.640535e+000,2.253214e+002,4.787220e+002,1.365377e+002,1.305981e+002,5.548716e-001,6.043325e-001,2.907160e-001,4.374851e-001,7.737689e-001,4.830529e-001,8.714739e+000,7.468202e+000,5.121045e+000,3.612094e+000,2.497106e-001,1.067327e+000,1.616562e+001,6.845015e-001,-1.760441e+001,-6.784857e-001,-1.241626e+001,-1.049645e+000,-1.866273e+001,-7.228774e-001,4.627497e-002,1.806142e+000,1.601788e+000,6.040854e-001,1.486951e+000,2.798458e+000,-4.006414e+000,-2.578907e+000,1.239217e+001,1.018377e+000,8.627141e+002,3.101781e-001,1.140464e+003,2.322684e-001,2.119375e+001,1.664426e+000,1.913508e+003,1.647531e-001,9.197189e+002,3.781278e-001,1.341247e+001,2.307876e+000,2.940642e+003,1.045710e-001,8.802481e+002,3.516046e-001,8.543635e+000,3.573411e+000,-5.142671e+000,-1.381408e+000,1.723653e+001,4.264478e-001,1.935152e-001,1.124997e-001,-1.004791e-002,-9.361389e-001,2.501994e-001,1.075961e+000,1.643205e+001,6.636064e-001,-1.748724e+001,-6.840712e-001,-1.246912e+001,-1.042298e+000,-1.858500e+001,-7.262117e-001,9.441538e-001,9.169315e+000,2.061711e-001,-5.650620e-003,2.359123e-001,2.237809e+000,7.697456e-001,1.262609e+000,1.265455e+000,2.888889e-002,9.938080e-003,-3.448659e+001,"?
"
NLX-1530689228400677715-1530689237244.wav,3.031162e+001,1.348194e-001,2.859909e+001,3.037071e+001,3.265017e+001,4.051079e+000,4.026402e+002,5.609115e+002,5.434953e+001,4.419647e+001,3.564655e-001,9.738106e-001,3.749040e-002,2.711942e-001,6.483189e-001,6.108285e-001,6.286747e+000,2.928416e+000,3.536560e+000,2.191626e+000,1.793525e-001,1.257021e+000,1.397849e+001,1.657095e+000,1.519209e+001,9.838023e-001,6.797656e+000,2.681468e+000,-8.015821e+000,-2.035894e+000,5.921758e-002,1.846114e+000,1.421253e+000,8.885483e-001,5.213417e+000,9.319139e-001,8.300400e+000,1.452089e+000,2.923732e+001,4.061826e-001,4.995992e+002,4.239516e-001,1.212343e+003,1.569041e-001,-1.022882e+002,-9.565915e-001,1.491132e+003,2.434967e-001,9.222800e+002,3.146135e-001,-1.057527e+002,-8.510790e-001,2.505314e+003,1.396786e-001,6.709299e+002,4.834559e-001,-1.086450e+002,-8.019719e-001,-1.819583e+001,-5.191025e-001,2.610223e+001,4.561937e-001,1.113952e-001,2.682523e-001,-2.844088e-002,-5.772965e-001,3.129697e-001,7.792510e-001,2.984832e+001,5.355367e-001,1.860547e+001,8.736045e-001,1.923096e+000,1.109055e+001,-6.955566e+000,-2.681519e+000,1.328758e+000,4.627975e+000,9.485882e-002,-8.035793e-004,4.225451e-002,2.123894e+000,1.428571e+000,3.437500e-001,2.021718e-001,2.650000e-001,2.386315e-001,-3.275652e+001,"?
"
NLX-1530689235762353068-1530689276080.wav,3.028081e+001,1.926914e-001,2.868946e+001,3.041684e+001,3.266069e+001,3.971228e+000,1.994107e+002,2.166264e+002,1.523332e+002,2.291282e+002,2.964937e-001,8.112092e-001,4.205598e-002,2.753074e-001,4.879935e-001,4.459375e-001,4.458246e+000,3.262177e+000,3.070185e+000,2.574011e+000,1.167444e-001,1.126847e+000,1.810478e+001,1.191417e+000,1.772254e+001,8.857694e-001,1.475880e+001,9.671194e-001,-1.367102e+000,-1.045768e+001,4.426499e-002,2.305328e+000,1.066223e+000,9.495388e-001,6.339945e+000,8.327919e-001,8.383053e+000,1.125562e+000,3.179083e+001,4.728759e-001,5.314718e+002,3.920266e-001,1.216386e+003,2.292070e-001,-8.371248e+001,-1.139802e+000,1.632337e+003,2.085891e-001,8.930908e+002,4.850885e-001,-9.259410e+001,-9.179764e-001,2.657558e+003,1.523131e-001,8.026272e+002,4.380687e-001,-9.454124e+001,-8.823625e-001,-2.038801e+001,-5.370975e-001,2.706735e+001,4.653994e-001,1.140789e-001,2.282374e-001,-2.910680e-002,-4.363558e-001,1.691255e-001,8.170106e-001,3.107486e+001,4.669818e-001,2.101138e+001,7.140886e-001,1.326052e+001,1.261077e+000,-8.323317e-001,-1.980524e+001,-1.474794e-001,6.052742e+000,8.881400e-002,3.751949e-005,3.507588e-002,2.200734e+000,1.636607e+000,3.630612e-001,3.020759e-001,2.368085e-001,4.003568e-001,-3.620961e+001,"?
"
NLX-1530699671931312648-1530699701934.wav,1.581666e+001,3.318227e-001,1.287591e+001,1.483593e+001,1.623569e+001,3.359774e+000,3.155297e+001,2.111508e+001,3.962119e+001,1.893300e+001,4.191924e-001,4.459881e-001,3.205490e-001,3.294998e-001,4.697535e-001,1.492045e-001,3.341124e+000,1.519082e+000,3.842597e+000,2.530904e+000,3.101881e-001,3.779666e-001,2.811490e+001,1.493260e-001,1.679542e+001,3.597449e-001,1.570057e+001,3.874318e-001,5.350971e+000,2.348993e+000,3.621962e-002,8.796707e-001,1.009298e+000,5.331836e-001,-4.748217e+000,-1.109630e+000,-2.320325e+001,-1.420536e+000,-7.839016e+000,-3.877417e+000,5.051423e+002,2.674764e-001,1.219928e+003,1.969930e-001,-1.764357e+002,-3.381178e-001,1.495720e+003,1.822099e-001,1.098107e+003,4.814967e-001,-1.780917e+002,-3.130844e-001,2.872374e+003,7.531647e-002,4.616987e+002,7.994121e-001,-1.788833e+002,-3.004079e-001,-2.279594e+001,-2.444986e-001,3.308812e+001,1.807128e-001,-9.208360e-002,-1.564301e-001,-1.895139e-002,-5.279286e-001,3.856466e-001,4.109322e-001,3.334097e+001,1.345438e-001,1.058891e+001,1.047364e+000,1.599202e+001,7.802246e-001,-1.874649e+001,-6.541929e-001,-3.195614e+001,4.480145e+001,-1.221379e-001,-1.089282e-002,2.989405e-001,1.293532e+000,1.300000e+000,9.230769e-002,3.576716e-002,7.091666e-001,1.460094e+000,-2.701000e+001,"?
"
NLX-1530699702017807619-1530699760389.wav,1.502224e+001,1.015730e-001,1.281679e+001,1.582492e+001,1.617857e+001,3.361783e+000,1.490090e+002,1.568010e+002,8.278150e+000,1.780521e+000,3.548638e-001,2.257279e-001,3.173144e-001,3.273807e-001,3.576471e-001,4.033276e-002,2.341454e+000,2.028152e+000,1.894539e+000,1.472587e+000,2.411390e-001,4.025208e-001,2.773253e+001,1.148264e-001,1.542289e+001,2.067934e-001,1.503581e+001,3.546250e-001,1.119863e+001,5.462561e-001,5.709669e-002,1.179955e+000,1.155517e+000,4.627545e-001,-1.965742e+000,-3.517184e+000,-5.885261e+000,-7.397120e+000,1.585226e+000,1.588494e+001,5.261738e+002,3.231674e-001,1.303905e+003,1.778174e-001,-1.938895e+002,-1.751868e-001,1.655724e+003,1.867883e-001,1.043850e+003,2.874376e-001,-1.944522e+002,-1.599487e-001,2.747561e+003,9.582103e-002,9.487917e+002,5.445706e-001,-1.945916e+002,-1.565120e-001,-2.614612e+001,-1.304077e-001,3.744441e+001,1.477249e-001,-8.280192e-002,-2.554966e-001,-1.522465e-002,-5.156525e-001,3.392694e-001,2.792749e-001,3.224121e+001,1.157938e-001,1.361051e+001,4.398696e-001,2.181571e+001,4.291997e-001,-3.367733e+000,-3.181291e+000,-3.085325e+001,4.516377e+001,-1.088636e-001,-7.607888e-003,2.373585e-001,1.132578e+000,4.004004e-001,8.666667e-002,7.464732e-002,2.206154e+000,4.625592e+000,-2.771566e+001,"?
"
NLX-1530761746755936722-1530761762678.wav,1.658834e+001,0.000000e+000,1.658834e+001,1.658834e+001,1.658834e+001,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,1.170749e-002,2.012039e+000,1.953973e-003,2.005942e-003,1.274250e-002,1.078852e-002,8.731695e-001,1.177783e+000,6.668156e-001,7.872061e-001,2.037888e-003,3.371195e+000,-7.148796e+000,-1.061007e+000,3.960913e+000,1.293826e+000,-9.359237e+000,-1.098560e+000,1.319223e+001,8.435851e-001,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,-1.866113e+001,0.000000e+000,2.010000e+002,0.000000e+000,-4.863978e+000,0.000000e+000,1.317068e+003,0.000000e+000,5.911330e+002,0.000000e+000,-2.005691e+002,-3.573916e-002,2.428573e+003,0.000000e+000,3.905373e+002,0.000000e+000,-2.005675e+002,-3.587782e-002,3.429160e+003,0.000000e+000,3.417393e+002,0.000000e+000,-2.005673e+002,-3.588843e-002,-9.876143e+000,0.000000e+000,1.984874e+001,0.000000e+000,9.153162e-002,0.000000e+000,7.260842e-003,0.000000e+000,9.519935e-003,0.000000e+000,6.905695e+000,0.000000e+000,1.116659e+001,0.000000e+000,1.288422e+001,0.000000e+000,-4.954324e+000,0.000000e+000,2.776856e+000,3.365610e+000,1.061244e-001,1.768922e-002,2.040050e-003,1.393035e+000,0.000000e+000,0.000000e+000,0.000000e+000,4.980000e+000,1.900000e-001,-7.339001e+001,"?
"
NLX-15307947120641084568-1530794723196.wav,2.748128e+001,1.275768e-001,2.661443e+001,2.771641e+001,2.882912e+001,2.214687e+000,5.106024e+001,2.626118e+001,2.264746e+001,7.744199e+000,5.933701e-002,4.661731e-001,4.090359e-002,4.263904e-002,8.225484e-002,4.135125e-002,9.279820e-001,6.363459e-001,7.193491e-001,3.847439e-001,1.752204e-002,3.047140e-001,2.125441e+001,3.942277e-001,1.534707e+001,2.745083e-001,1.682109e+001,4.274631e-001,1.323353e+001,7.290437e-001,2.727029e-002,1.140375e+000,1.714641e+000,9.647509e-001,1.657286e+001,7.515209e-001,2.857663e+000,1.295285e+000,2.516465e+001,2.906893e-001,7.834075e+002,3.614047e-001,1.467223e+003,1.245441e-001,-1.559301e+002,-4.928619e-001,1.863023e+003,1.762019e-001,1.442068e+003,2.389653e-001,-1.587976e+002,-4.501191e-001,2.916892e+003,1.099009e-001,1.195003e+003,2.859419e-001,-1.593515e+002,-4.425356e-001,-3.312175e+001,-1.586908e-001,4.611219e+001,1.471206e-001,-8.655335e-002,-2.792905e-001,-1.182925e-002,-1.048833e+000,2.209662e-002,2.694662e-001,2.975230e+001,3.052475e-001,1.591654e+001,3.395883e-001,1.752092e+001,6.704441e-001,4.786927e+000,2.909363e+000,-4.050381e+001,5.513036e+001,-9.364408e-002,8.769626e-005,1.614013e-002,2.698651e+000,1.510574e+000,1.520000e-001,8.964373e-002,4.445454e-001,7.690296e-001,-4.512677e+001,"?
"
NLX-1530794746805968767-1530794779701.wav,2.637902e+001,2.304928e-001,1.876391e+001,2.796183e+001,2.994332e+001,1.117940e+001,2.750645e+002,4.437469e+002,1.510091e+002,1.675510e+002,7.441287e-002,4.521236e-001,4.203169e-002,6.456662e-002,1.030487e-001,6.101700e-002,8.508650e-001,5.485870e-001,6.336667e-001,4.692003e-001,1.716271e-002,5.527626e-001,2.460195e+001,4.236103e-001,1.347916e+001,5.758131e-001,1.723087e+001,5.660060e-001,1.112519e+001,9.005634e-001,4.949793e-002,1.717208e+000,1.271981e+000,8.397434e-001,1.596987e+001,7.230618e-001,2.667177e+000,2.010686e+000,2.565454e+001,3.486680e-001,6.713773e+002,4.288394e-001,1.424373e+003,1.842206e-001,-1.257344e+002,-7.087070e-001,1.749207e+003,1.778280e-001,1.254298e+003,2.313646e-001,-1.295133e+002,-6.446619e-001,2.861226e+003,1.148962e-001,1.151918e+003,3.015378e-001,-1.316040e+002,-6.133214e-001,-3.316201e+001,-1.758962e-001,4.696767e+001,1.445731e-001,-7.607510e-002,-3.336256e-001,-1.334255e-002,-7.820067e-001,2.000736e-002,4.669801e-001,3.203672e+001,2.392239e-001,1.318616e+001,6.888211e-001,1.601763e+001,7.981171e-001,6.947295e+000,1.624905e+000,-3.826241e+001,5.189297e+001,-9.362825e-002,-1.669133e-003,1.519071e-002,3.201067e+000,2.037408e+000,1.926229e-001,1.645451e-001,2.869492e-001,3.690907e-001,-4.499419e+001,"?
"
NLX-1530815246486699280-1530815305037.wav,2.635615e+001,3.230495e-001,1.714336e+001,2.500199e+001,3.429662e+001,1.715326e+001,1.702153e+002,9.281200e+001,1.240608e+002,8.794619e+001,3.363648e-001,4.302765e-001,2.593258e-001,2.674427e-001,3.761365e-001,1.168106e-001,2.889335e+000,2.044519e+000,2.376536e+000,1.449441e+000,1.231138e-001,8.425600e-001,3.248295e+001,1.806552e-001,-2.835596e+000,-2.228858e+000,5.232000e+000,1.697646e+000,1.404097e+001,6.431687e-001,1.249339e-001,1.146387e+000,1.235752e+000,5.404544e-001,2.722395e+000,1.018645e+000,3.933484e-001,4.285383e+001,1.227919e+001,1.179797e+000,9.228209e+002,2.317095e-001,1.125547e+003,1.717564e-001,-1.172221e+001,-1.610462e+000,1.846573e+003,1.207520e-001,1.174928e+003,2.057883e-001,-1.484823e+001,-1.283605e+000,2.678422e+003,5.832486e-002,8.887313e+002,3.103790e-001,-1.774993e+001,-1.048405e+000,-1.299995e+001,-2.385163e-001,2.423440e+001,1.354682e-001,5.306617e-002,3.422764e-001,-3.174530e-003,-2.116229e+000,1.219371e-001,8.382835e-001,3.243829e+001,1.811175e-001,-2.765121e+000,-2.285873e+000,5.328032e+000,1.648710e+000,1.415578e+001,6.283904e-001,-4.740654e+000,2.138667e+001,4.628745e-002,-1.269378e-002,3.875034e-001,1.805416e+000,2.018164e-001,4.915000e+000,4.350000e-001,5.000000e-002,0.000000e+000,-3.978294e+001,"?
"
