,Transcipt_File,a,b,c,capletters,cc,cd,d,dt,e,ex,f,g,h,i,in,j,jj,jjr,jjs,k,l,ls,m,md,n,nn,nnp,nns,numbers,o,p,pdt,polarity,pos,prp,prp2,q,r,rbr,rbs,repeat,rp,s,space,subjectivity,t,to,u,uh,v,vb,vbd,vbg,vbn,vbp,vbz,w,wdt,wp,wrb,x,y,z
0,p10_visit_1_arm_1_t1.txt,15.0,4.0,7.0,5.0,0.0,0.0,13.0,15.0,27.0,0.0,11.0,3.0,22.0,63.0,3.0,0.0,34.0,0.0,0.0,3.0,11.0,0.0,7.0,0.0,10.0,190.0,43.0,0.0,1.0,24.0,5.0,0.0,-0.05243055555555555,0.0,4.0,0.0,1.0,10.0,0.0,0.0,16.0,0.0,15.0,64.0,0.2638888888888889,27.0,0.0,15.0,0.0,1.0,1.0,2.0,0.0,0.0,19.0,11.0,8.0,0.0,0.0,1.0,0.0,5.0,0.0
1,p11_visit_1_arm_1_t1.txt,11.0,3.0,6.0,10.0,0.0,1.0,6.0,13.0,14.0,0.0,0.0,5.0,7.0,45.0,0.0,0.0,19.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,15.0,113.0,23.0,0.0,0.0,15.0,7.0,1.0,0.12878787878787878,2.0,7.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,7.0,47.0,0.6144781144781145,11.0,0.0,5.0,0.0,2.0,2.0,3.0,1.0,0.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
2,p12_visit_1_arm_1_t1.txt,32.0,6.0,8.0,17.0,3.0,0.0,23.0,32.0,52.0,0.0,6.0,22.0,27.0,130.0,0.0,0.0,61.0,0.0,0.0,7.0,13.0,0.0,19.0,2.0,32.0,344.0,90.0,0.0,0.0,51.0,7.0,2.0,0.09320987654320986,2.0,15.0,0.0,1.0,22.0,0.0,0.0,55.0,0.0,24.0,131.0,0.45185185185185184,44.0,0.0,21.0,0.0,4.0,4.0,4.0,0.0,0.0,31.0,17.0,7.0,0.0,0.0,0.0,1.0,8.0,0.0
3,p12_visit_2_arm_1_t2.txt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,p13_visit_1_arm_1_t1.txt,29.0,6.0,5.0,4.0,1.0,0.0,10.0,29.0,26.0,0.0,4.0,11.0,15.0,80.0,3.0,0.0,41.0,0.0,0.0,5.0,13.0,0.0,9.0,4.0,19.0,192.0,60.0,1.0,0.0,38.0,2.0,0.0,0.24500000000000002,4.0,4.0,0.0,0.0,14.0,0.0,0.0,23.0,0.0,13.0,81.0,0.6799999999999999,26.0,0.0,19.0,0.0,2.0,6.0,6.0,0.0,0.0,17.0,23.0,9.0,0.0,0.0,0.0,0.0,13.0,0.0
5,p14_visit_1_arm_1_t1.txt,10.0,3.0,5.0,3.0,0.0,0.0,11.0,10.0,23.0,0.0,3.0,5.0,15.0,44.0,2.0,1.0,35.0,0.0,0.0,2.0,5.0,0.0,7.0,0.0,14.0,140.0,34.0,1.0,4.0,20.0,3.0,1.0,0.5,1.0,2.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,13.0,44.0,0.5,16.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0
6,p15_visit_1_arm_1_t1.txt,27.0,4.0,6.0,3.0,1.0,0.0,13.0,27.0,40.0,0.0,2.0,6.0,14.0,74.0,2.0,0.0,30.0,0.0,0.0,3.0,8.0,0.0,7.0,0.0,9.0,185.0,59.0,0.0,0.0,14.0,4.0,0.0,0.15999999999999998,0.0,3.0,0.0,0.0,16.0,0.0,0.0,25.0,0.0,19.0,75.0,0.45,21.0,0.0,13.0,0.0,3.0,2.0,4.0,0.0,0.0,11.0,20.0,15.0,0.0,0.0,0.0,0.0,12.0,0.0
7,p16_visit_1_arm_1_t1.txt,26.0,6.0,5.0,11.0,0.0,9.0,19.0,26.0,47.0,0.0,4.0,11.0,23.0,91.0,6.0,0.0,47.0,0.0,0.0,5.0,9.0,0.0,12.0,0.0,35.0,246.0,54.0,0.0,10.0,18.0,8.0,1.0,0.004999999999999993,0.0,10.0,0.0,0.0,16.0,0.0,0.0,27.0,0.0,12.0,91.0,0.43500000000000005,37.0,0.0,9.0,0.0,5.0,2.0,7.0,0.0,0.0,25.0,19.0,6.0,0.0,0.0,0.0,1.0,9.0,0.0
8,p17_visit_1_arm_1_t1.txt,21.0,6.0,6.0,7.0,1.0,0.0,16.0,21.0,27.0,0.0,2.0,5.0,14.0,57.0,3.0,0.0,29.0,0.0,0.0,3.0,12.0,0.0,5.0,4.0,19.0,163.0,41.0,0.0,0.0,16.0,7.0,1.0,0.2425,0.0,5.0,0.0,0.0,12.0,0.0,0.0,14.0,0.0,11.0,57.0,0.52,22.0,0.0,13.0,0.0,4.0,7.0,1.0,0.0,0.0,17.0,16.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0
9,p18_visit_1_arm_1_t1.txt,38.0,10.0,9.0,5.0,1.0,1.0,21.0,38.0,70.0,0.0,8.0,11.0,51.0,145.0,3.0,0.0,64.0,0.0,0.0,9.0,22.0,0.0,11.0,0.0,40.0,421.0,108.0,0.0,4.0,39.0,7.0,1.0,0.029797979797979792,2.0,1.0,0.0,1.0,28.0,0.0,0.0,51.0,0.0,48.0,145.0,0.5262626262626263,55.0,0.0,17.0,0.0,3.0,0.0,7.0,0.0,0.0,42.0,32.0,21.0,0.0,0.0,0.0,0.0,18.0,1.0
